# unit	matched_code	matched_functions	total_code	total_functions
default/AAFilter	620	6	620	6
default/ADSR	1228	9	1416	16
default/Accomplishment	2936	42	8128	85
default/AccomplishmentCategory	160	2	348	3
default/AccomplishmentConditional	916	20	2476	28
default/AccomplishmentDiscSongConditional	1500	19	2816	32
default/AccomplishmentPanel	40400	347	51264	408
default/AccomplishmentPlayerConditional	7528	89	8068	100
default/AccomplishmentSetlist	836	11	1060	16
default/AccomplishmentSongConditional	2548	37	4684	48
default/AccomplishmentSongFilterConditional	2220	22	2668	25
default/AccuracyTracker	1512	12	1512	12
default/Achievements	828	10	1464	18
default/AllocInfo	456	7	620	10
default/AmbientOcclusion	11316	110	28536	147
default/Anim	12224	160	23704	209
default/AnimFilter	5356	46	5528	48
default/AppChild	1192	14	1192	14
default/AppInlineHelp	4416	54	8316	74
default/AppLabel	18768	181	21020	193
default/Archive	7156	60	11392	78
default/ArkFile	788	16	1404	19
default/AssetTypes	4872	58	6176	74
default/AsyncFile	2320	21	3584	26
default/AsyncFileHolmes	120	2	120	2
default/AsyncFile_Win	824	6	2088	12
default/AsyncTask	184	2	328	4
default/Award	1784	27	2548	29
default/BandCamShot	21092	233	33940	295
default/BandCharDesc	23484	236	32384	266
default/BandCharacter	46624	524	70224	610
default/BandCrowdMeter	9988	126	15632	158
default/BandDirector	45456	502	64136	544
default/BandHighlight	4304	48	6608	56
default/BandIKEffector	6740	89	14848	111
default/BandLabel	4380	55	7376	67
default/BandLeadMeter	3200	61	7616	87
default/BandList	10100	101	16372	126
default/BandMachine	3244	51	6048	68
default/BandMachineMgr	7540	88	10156	102
default/BandPatchMesh	2700	23	6676	42
default/BandRetargetVignette	3516	43	5304	52
default/BandScoreboard	3608	58	6652	79
default/BandSongMetadata	11868	175	27612	251
default/BandSongMgr	10636	148	20876	191
default/BandSongPref	1048	11	1280	13
default/BandStarDisplay	2732	46	5328	55
default/BandSwatch	3736	72	8532	112
default/BandUI	18604	190	19940	203
default/BandUser	12140	140	18472	206
default/BandWardrobe	20604	234	33608	270
default/BaseGuitarTrackWatcherImpl	3748	22	3876	22
default/BaseMaterial	2828	25	4012	30
default/BeatMap	1032	7	1568	10
default/BeatMatchController	416	4	1712	15
default/BeatMatcher	6496	84	9836	117
default/BinStream	1836	20	2192	27
default/BinkClip	252	5	712	6
default/BinkMovieSys_Xbox	24	2	64	2
default/BinkReader	0	0	40	1
default/Biquad	176	2	176	2
default/Bitmap	7524	42	10348	49
default/BlockMgr	3724	40	5460	54
default/BoxMap	572	3	2268	8
default/BufStream	504	7	1532	20
default/BustAMoveData	100	1	568	5
default/ButtonHolder	5932	56	6652	63
default/ByteGrinder	7820	91	12740	105
default/CDReader	40	1	868	4
default/Cache	120	4	128	5
default/CacheMgr	552	11	652	12
default/CacheMgr_Xbox	3256	28	5256	40
default/Cache_Xbox	6364	75	9208	85
default/CalibrationPanel	9660	105	17120	122
default/Cam	6272	59	9264	99
default/CamAnim	2040	31	3832	45
default/CameraInput	8	1	240	2
default/CameraManager	10784	102	16736	139
default/CameraShot	25720	269	45532	324
default/CameraTilt	120	2	120	2
default/Campaign	15912	158	20196	179
default/CampaignLevel	816	9	2100	15
default/CampaignSongInfoPanel	2052	32	4872	49
default/Char	8508	136	11568	154
default/CharBlendBone	2092	25	4000	38
default/CharBone	5432	66	7800	76
default/CharBoneDir	11580	134	22668	201
default/CharBoneOffset	1964	24	2372	27
default/CharBones	3356	36	11228	43
default/CharBonesBlender	3172	39	3296	39
default/CharBonesMeshes	3292	48	7260	65
default/CharBonesSamples	3496	29	8748	39
default/CharClip	20020	190	29496	239
default/CharClipDriver	3432	25	5612	46
default/CharClipGroup	5076	57	8888	78
default/CharClipSet	5764	77	11232	93
default/CharCollide	3748	37	4304	42
default/CharCuff	4516	44	9464	58
default/CharData	2416	30	3212	36
default/CharDriver	11740	140	18188	164
default/CharDriverMidi	3652	36	5008	51
default/CharEyeDartRuleset	3212	34	4376	50
default/CharEyes	15964	182	32620	242
default/CharFaceServo	3796	51	5400	57
default/CharFeedback	380	6	1220	12
default/CharForeTwist	1424	16	2680	26
default/CharGuitarString	2248	30	3628	38
default/CharHair	16360	162	26884	186
default/CharIKFingers	7712	96	17320	118
default/CharIKFoot	2644	39	4224	41
default/CharIKHand	2136	30	4312	38
default/CharIKHead	6364	77	9456	81
default/CharIKMidi	3712	45	6208	57
default/CharIKRod	3480	47	6240	63
default/CharIKScale	3816	41	7328	49
default/CharIKSliderMidi	3504	45	6836	64
default/CharInterest	4156	23	4888	26
default/CharLipSync	6720	66	12108	97
default/CharLipSyncDriver	7256	88	10324	99
default/CharLookAt	6124	56	8908	62
default/CharMeshHide	9668	101	13652	127
default/CharMirror	2948	33	4140	37
default/CharNeckTwist	1532	23	2388	28
default/CharPollGroup	3816	45	5924	58
default/CharPosConstraint	2652	28	3168	31
default/CharServoBone	4776	51	6820	71
default/CharSignalApplier	832	15	2772	35
default/CharSleeve	2960	31	5220	33
default/CharTaskMgr	60	1	532	3
default/CharTransDraw	348	2	348	2
default/CharUpperTwist	1836	18	3572	34
default/CharUtl	2788	16	3380	18
default/CharWeightSetter	5212	48	6088	51
default/CharWeightable	1668	19	1952	21
default/Character	16576	210	34096	286
